x,y
421.93,232.72
426.03,242.96
376.89,236.13
375.52,227.26
376.21,216.34
395.32,208.83
404.19,204.74
415.79,207.47
407.60,195.19
418.52,183.58
320.93,184.26
335.94,182.22
335.94,175.39
345.50,175.39
350.27,160.38
342.08,191.09
349.59,187.68
351.64,178.12
365.97,180.17
346.18,207.47
372.79,176.76
375.52,190.41
388.49,162.43
398.73,173.35
357.10,145.36
371.43,150.82
371.43,167.21
387.81,136.49
379.62,132.40
389.18,150.82
400.78,121.48
413.06,126.26
411.01,136.49
404.19,150.14
411.01,144.00
421.93,139.91
408.28,161.06
415.79,157.65
428.76,149.46
415.11,171.98
424.66,167.89
435.58,161.74
441.73,126.94
451.96,143.32
446.50,155.60
456.06,152.87
436.26,139.91
456.74,127.62
460.83,139.22
448.55,103.05
453.33,111.93
466.29,105.10
478.58,106.47
474.49,122.84
481.31,135.13
466.29,125.57
468.34,142.64
489.50,111.93
485.40,126.26
494.27,138.54
512.70,145.36
519.52,158.33
488.13,159.01
505.88,146.73
461.51,196.55
458.10,210.88
450.60,218.39
443.77,219.07
440.36,228.63
451.28,236.81
460.83,243.64
460.83,234.77
469.02,223.85
469.02,237.50
464.25,214.29
469.02,199.28
469.71,210.20
475.85,218.39
482.67,226.58
449.23,165.84
449.23,176.07
455.37,180.85
507.24,178.80
474.49,197.23
484.72,191.77
469.02,180.85
468.34,188.36
473.80,184.95
473.80,223.85
475.17,236.13
481.31,244.32
473.80,242.96
477.22,254.56
475.85,259.34
470.39,258.65
464.93,262.75
460.15,253.88
491.54,222.49
491.54,231.36
501.10,219.07
499.05,213.61
491.54,212.25
502.47,195.87
512.02,188.36
521.57,176.76
520.21,141.95
534.54,150.82
524.99,131.03
531.81,131.03
535.22,123.52
540.68,117.38
537.95,109.20
532.49,105.10
526.35,103.74
517.48,109.20
510.65,113.29
509.97,119.43
513.38,125.57
513.38,127.62
519.52,131.72
548.87,126.26
547.51,131.03
550.24,141.27
557.06,146.05
550.92,156.28
553.65,162.43
559.79,155.60
553.65,169.25
532.49,159.01
505.88,206.78
515.43,200.64
508.61,218.39
519.52,214.29
500.42,234.77
512.70,224.53
520.21,227.26
520.89,238.18
516.11,245.00
513.38,252.51
505.20,259.34
497.69,268.89
499.05,252.51
490.86,253.88
487.45,262.75
488.13,271.62
490.18,278.45
494.27,285.27
495.64,294.14
484.04,281.18
482.67,290.05
489.50,290.05
474.49,268.89
465.61,272.99
463.56,284.59
479.26,277.08
507.93,270.26
517.48,265.48
518.16,268.89
520.21,276.40
529.76,256.61
527.72,251.83
531.81,241.59
551.60,240.91
555.70,247.05
550.24,257.29
543.41,264.79
546.14,271.62
526.35,206.78
539.32,213.61
534.54,193.82
539.32,193.14
546.82,204.06
552.28,187.68
557.06,181.53
572.76,181.53
575.49,192.46
563.21,193.82
559.11,204.06
555.70,214.29
566.62,201.33
572.76,203.37
562.52,217.71
565.93,223.85
574.12,219.07
574.12,212.93
574.12,209.51
582.31,173.35
580.95,188.36
588.46,186.31
600.06,190.41
606.20,190.41
605.52,196.55
588.46,171.98
602.78,174.03
613.71,175.39
622.58,179.49
626.67,188.36
601.42,180.85
612.34,191.09
625.99,197.92
620.53,215.66
608.93,225.90
629.40,212.93
634.86,223.17
643.05,218.39
565.93,132.40
557.74,127.62
557.74,116.02
565.25,122.84
579.58,143.32
595.28,154.92
608.93,163.11
624.63,171.30
641.00,185.63
651.24,202.01
662.16,202.69
662.84,192.46
591.87,141.95
602.78,153.55
619.17,159.01
591.19,109.88
593.23,118.75
587.09,124.89
596.64,121.48
603.47,119.43
609.61,115.34
611.66,106.47
602.78,100.32
598.01,135.81
606.88,130.35
619.17,124.21
625.99,120.11
634.18,120.11
644.42,120.11
617.80,133.08
610.29,137.86
615.75,145.36
625.31,142.64
627.36,136.49
631.45,128.99
638.96,125.57
644.42,128.30
646.47,135.13
636.91,143.32
641.00,151.51
650.56,143.32
656.70,141.95
651.24,133.76
660.11,135.81
674.45,138.54
653.29,154.92
647.83,158.33
642.37,164.48
631.45,164.48
631.45,165.84
636.23,171.98
643.74,174.03
649.20,167.21
656.70,167.21
666.26,169.93
711.98,174.03
721.53,199.28
716.76,211.56
728.36,225.22
744.74,213.61
759.75,225.90
687.41,204.74
694.92,193.82
696.97,187.00
711.98,186.31
715.39,197.23
707.21,207.47
697.65,209.51
677.86,204.06
677.86,213.61
677.86,224.53
683.32,231.36
694.24,234.08
704.48,238.86
709.25,248.42
683.32,251.15
688.09,241.59
697.65,242.27
691.51,251.83
666.94,256.61
634.18,242.27
641.00,241.59
644.42,235.45
653.97,231.36
662.16,233.40
668.99,233.40
670.35,238.86
668.30,245.69
659.43,246.37
658.07,251.83
653.97,257.97
647.83,262.07
642.37,262.07
631.45,262.07
627.36,256.61
631.45,249.78
580.95,223.85
587.09,223.85
596.64,226.58
604.15,229.99
604.83,238.86
602.78,242.27
598.01,246.37
590.50,245.69
585.73,243.64
588.46,234.77
579.58,233.40
576.85,242.96
581.63,251.15
573.44,251.83
585.73,256.61
590.50,262.07
586.41,267.52
583.68,275.72
576.85,272.99
575.49,266.16
567.30,262.07
569.35,271.62
598.01,261.38
602.10,264.11
606.20,266.84
608.93,262.07
611.66,258.65
608.93,251.83
600.74,252.51
613.02,288.00
631.45,279.13
631.45,287.32
633.50,297.55
638.96,277.76
647.15,277.08
654.65,286.64
652.61,269.57
662.84,265.48
667.62,268.89
671.72,279.13
668.30,288.00
681.27,257.97
687.41,261.38
679.22,272.99
677.18,264.79
693.55,274.35
688.78,285.27
697.65,285.95
703.79,280.49
686.73,291.41
727.00,310.52
714.71,298.92
716.07,282.54
711.30,269.57
712.66,255.24
724.95,251.15
741.33,257.29
741.33,269.57
739.28,278.45
735.87,286.64
737.92,301.65
742.69,310.52
749.52,319.39
724.26,333.73
730.41,350.10
731.09,330.31
742.69,335.77
746.78,346.01
718.12,311.89
717.44,319.39
711.98,323.49
705.84,324.17
680.59,299.60
672.40,308.48
686.05,308.48
649.20,298.92
651.93,315.30
647.83,323.49
634.86,318.71
630.77,313.93
629.40,308.48
621.90,302.33
611.66,296.87
643.74,311.89
634.18,330.31
639.64,339.19
646.47,345.33
655.34,344.64
660.79,337.82
660.79,326.22
649.20,333.73
668.99,347.37
675.13,339.87
